product_id,review_id,review_text
P001,R001,"These men's running shoes feel super light and responsive on my daily 5K."
P001,R002,"Good cushioning but the heel slips a bit when I sprint."
P001,R003,"Love the look of these men's running shoes; they match all my workout outfits."
P001,R004,"After a month, the men's running shoes started to crease more than expected."
P001,R005,"Best men's running shoes I have owned—no hot spots or blisters."
P001,R006,"The men's running shoes are fine for casual wear, but not great for long runs."
P001,R007,"Traction on these men's running shoes is excellent on wet pavement."
P001,R008,"The men's running shoes run narrow, so wide-footed people should size up."
P001,R009,"Breathability of these men's running shoes is amazing in hot weather."
P001,R010,"These men's running shoes feel overpriced for the level of comfort."
P002,R011,"These women's yoga pants are buttery soft and perfect for studio classes."
P002,R012,"Women's yoga pants fit well at the waist but bunch around the knees."
P002,R013,"Color of these women's yoga pants stays vibrant after multiple washes."
P002,R014,"The seams on the women's yoga pants started to unravel after two weeks."
P002,R015,"Love how these women's yoga pants stay in place during intense flows."
P002,R016,"Women's yoga pants feel slightly see-through in bright light."
P002,R017,"These women's yoga pants have a flattering high-rise waistband."
P002,R018,"I wish the women's yoga pants had pockets for my phone."
P002,R019,"Great stretch in these women's yoga pants without feeling restrictive."
P002,R020,"The women's yoga pants collect lint easily and need frequent lint-rolling."
P003,R021,"These men's training shorts are lightweight and great for HIIT workouts."
P003,R022,"Men's training shorts ride up a bit during squats."
P003,R023,"Love the zip pockets on these men's training shorts for holding keys."
P003,R024,"Fabric of the men's training shorts feels cheaper than expected."
P003,R025,"Men's training shorts dry quickly after intense sessions."
P003,R026,"The waistband on these men's training shorts digs into my skin."
P003,R027,"Perfect length on these men's training shorts—hits right above the knee."
P003,R028,"Men's training shorts are fine, but the logo peeled off quickly."
P003,R029,"These men's training shorts have become my go-to for the gym."
P003,R030,"Stitching on the men's training shorts is already fraying after a few washes."
P004,R031,"Women's sports bras offer great support for running and jumping."
P004,R032,"The women's sports bras feel tight around the band but loose in the cups."
P004,R033,"Love the color and style of these women's sports bras."
P004,R034,"Padding in the women's sports bras shifts around and is hard to fix."
P004,R035,"These women's sports bras wick sweat really well during hot workouts."
P004,R036,"Straps on the women's sports bras dig into my shoulders."
P004,R037,"Women's sports bras fit true to size and feel secure."
P004,R038,"I wish these women's sports bras had adjustable straps."
